Page URL,Page File,Section,Element / Location,Text Found,Source,Notes,Checked On
http://localhost:3000/contact-us,pages/contact-us/index.js,"Get In Touch form","Phone Number field - country dropdown default; components/contact/getform.js:115 (PhoneInput country={""sa""})","Saudi Arabia: + 966  (field pre-filled with +966, Saudi flag shown)","HARDCODED in component (not CMS)","Only Saudi reference on this page. Same hardcoded default as /consultation. No Saudi in body copy or <head>. NOTE: all 3 addresses listed on this page are Dubai / Abu Dhabi (UAE), not India or Saudi.",2026-08-13
http://localhost:3000/message-from-director,pages/message-from-director/index.js,"SEO / <head>","meta description, og:description, twitter:description","Discover the Director’s message at CDA - focused on integrity, innovation, and delivering expert accounting and compliance services in Saudi Arabia.","CMS (director page -> meta_description / og_description)","Not visible on screen; shows in search results and social previews. NOTE: <title> here is ""Message From Director - CDA Accounting and Bookkeeping Services LLC"" (no Saudi, but says LLC / UAE entity).",2026-08-13
http://localhost:3000/message-from-director,pages/message-from-director/index.js,"Director’s Message (Charles D, Founder and Managing Director)","Body paragraph, 1st sentence; component components/director/message.js:33 (description_2)","...building long-term relationships that help businesses come to the forefront in the ever-evolving financial landscape of Saudi Arabia.","CMS (director page -> content.description_2)","1 occurrence, visible on page.",2026-08-13
http://localhost:3000/our-clients,pages/our-clients/index.js,"Testimonials block (""Hear from our Valued Clients"") - NOT RENDERED on this page","CMS field short_description_2 of the clients page; no component on /our-clients reads title_2 / short_description_2 (components/clients/clients.js only uses title_1 + description_1)","We Take Pride in Partnering with Prestigious Clients in Saudi Arabia","CMS (clients page -> content.short_description_2)","NOT VISIBLE ON PAGE - content exists in page data (__NEXT_DATA__) but the Testimonials component is not imported/rendered on /our-clients, so the strapline never appears. 0 visible Saudi mentions. Nothing in <head> / meta (browser_title is just ""Clients""; meta_description and og_* are all null).",2026-08-13

http://localhost:3000/services,pages/services/index.js,"SEO / <head>","meta description, og:description, twitter:description","CDA provides expert auditing, tax, zakat, and financial advisory services tailored for businesses in Saudi Arabia. Discover our full-service offerings now.","CMS (services page -> meta_description / og_description)","Not visible on screen. <title> itself has no Saudi (""Services We Offer at CDA | Auditing, Tax & Zakat Experts and more"").",2026-08-13
http://localhost:3000/services,pages/services/index.js,"Why CDA / ""Your Go-To Expert for Precise and Dependable Financial Solutions"" - image card overlay","<h4>SAUDI</h4> on the image card (above the Contact Us button); component components/services/Servwhy.js:63 via prop whyimgsubcap","SAUDI","HARDCODED in pages/services/index.js:53 (whyimgsubcap={""SAUDI""}) - NOT CMS","Visible on page in capitals. Cannot be changed from the CMS - needs a code edit. Card caption above it (image_title_3 = ""Financial Solution"") IS from CMS.",2026-08-13
http://localhost:3000/services,pages/services/index.js,"Our Associates","Map hotspot tooltip (3rd marker, after INDIA and UAE) - <h4> inside .associates_list_opt; component components/home/Associates.js","Saudi Arabia","CMS (widget ourassociates -> our_associates_listing_id[2].title)","Same shared Associates map as the homepage. Also non-visibly in image filename saudi-arabia684ab35abb8ab.jpg.",2026-08-13
http://localhost:3000/services,pages/services/index.js,"FAQ","Answer to ""Can CDA help reduce my company’s tax liability legally?""; component components/home/Faq.js via Accordion","Yes, CDA offers strategic tax planning and advisory services to help optimise your tax position within the framework of local Saudi laws.","CMS (services page -> faq[] id 200 answer)","Visible after expanding that FAQ item.",2026-08-13
http://localhost:3000/services/<slug>  (all 52 live service detail pages),pages/services/[slug].js,"Our Associates","Map hotspot tooltip (3rd marker, after INDIA and UAE) - <h4> inside .associates_list_opt; component components/home/Associates.js","Saudi Arabia","CMS (widget ourassociates -> our_associates_listing_id[2].title)","ALL 52 service detail pages checked - each has EXACTLY this one visible Saudi mention and nothing else. No Saudi in body copy, headings, FAQ or <head>/meta on any of them. Fixing the shared ourassociates widget clears all 52 at once. Slug list: see saudi-mentions-service-pages.txt",2026-08-13
